"","Name","Ask","Bid","Date"
"92","Atlantic Power Corporation Ordi","N/A","N/A","Tue Nov 15 06:42:36 2016"
"93","A10 Networks, Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"94","Autohome Inc. American Deposita","N/A","N/A","Tue Nov 15 06:42:36 2016"
"95","Allegheny Technologies Incorpor","N/A","N/A","Tue Nov 15 06:42:36 2016"
"96","Atkore International Group Inc.","N/A","N/A","Tue Nov 15 06:42:36 2016"
"97","Atmos Energy Corporation Common","N/A","N/A","Tue Nov 15 06:42:36 2016"
"98","AptarGroup, Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"99","Atento S.A. Ordinary Shares","N/A","N/A","Tue Nov 15 06:42:36 2016"
"100","Actuant Corporation Common Stoc","N/A","N/A","Tue Nov 15 06:42:36 2016"
"101","Acorn International, Inc. ADS","N/A","N/A","Tue Nov 15 06:42:36 2016"
"102","Atwood Oceanics, Inc. Common St","N/A","N/A","Tue Nov 15 06:42:36 2016"
"103","AngloGold Ashanti Limited Commo","N/A","N/A","Tue Nov 15 06:42:36 2016"
"104","AU Optronics Corp American Depo","N/A","N/A","Tue Nov 15 06:42:36 2016"
"105","Yamana Gold Inc. Ordinary Share","N/A","N/A","Tue Nov 15 06:42:36 2016"
"106","Aviva plc Unsponsored ADR (UK)","N/A","N/A","Tue Nov 15 06:42:36 2016"
"107","Avista Corporation Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"108","Grupo Aval Acciones y Valores S","N/A","N/A","Tue Nov 15 06:42:36 2016"
"109","AvalonBay Communities, Inc. Com","N/A","N/A","Tue Nov 15 06:42:36 2016"
"110","American Vanguard Corporation C","N/A","N/A","Tue Nov 15 06:42:36 2016"
"111","AVG Technologies N.V. Ordinary ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"112","Avianca Holdings S.A. American ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"113","Advent Claymore Convertible Sec","N/A","N/A","Tue Nov 15 06:42:36 2016"
"114","Avon Products, Inc. Common Stoc","N/A","N/A","Tue Nov 15 06:42:36 2016"
"115","Avnet, Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"116","Aviva plc Subordinated Capital ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"117","AVX Corporation Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"118","Avery Dennison Corporation Comm","N/A","N/A","Tue Nov 15 06:42:36 2016"
"119","Alliancebernstein Global High I","N/A","N/A","Tue Nov 15 06:42:36 2016"
"120","Allied World Assurance Company ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"121","Armstrong World Industries Inc ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"122","American Water Works Company, I","N/A","N/A","Tue Nov 15 06:42:36 2016"
"123","Alpine Global Premier Propertie","N/A","N/A","Tue Nov 15 06:42:36 2016"
"124","American States Water Company C","N/A","N/A","Tue Nov 15 06:42:36 2016"
"125","Anixter International Inc. Comm","N/A","N/A","Tue Nov 15 06:42:36 2016"
"126","American Axle & Manufacturing H","N/A","N/A","Tue Nov 15 06:42:36 2016"
"127","Axovant Sciences Ltd. Common Sh","N/A","N/A","Tue Nov 15 06:42:36 2016"
"128","American Express Company Common","N/A","N/A","Tue Nov 15 06:42:36 2016"
"129","AMREP Corporation Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"130","Axis Capital Holdings Limited C","N/A","N/A","Tue Nov 15 06:42:36 2016"
"133","Axalta Coating Systems Ltd. Com","N/A","N/A","Tue Nov 15 06:42:36 2016"
"134","Acuity Brands Inc (Holding Comp","N/A","N/A","Tue Nov 15 06:42:36 2016"
"135","Aircastle Limited Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"136","Astrazeneca PLC Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"137","AutoZone, Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"138","Azure Power Global Limited Equi","N/A","N/A","Tue Nov 15 06:42:36 2016"
"139","AZZ Inc.","N/A","N/A","Tue Nov 15 06:42:36 2016"
"140","Barnes Group, Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"141","Boeing Company (The) Common Sto","N/A","N/A","Tue Nov 15 06:42:36 2016"
"142","Alibaba Group Holding Limited A","N/A","N/A","Tue Nov 15 06:42:36 2016"
"143","Bank of America Corporation Com","N/A","N/A","Tue Nov 15 06:42:36 2016"
"154","BlackRock Municipal Income Inve","N/A","N/A","Tue Nov 15 06:42:36 2016"
"155","Booz Allen Hamilton Holding Cor","N/A","N/A","Tue Nov 15 06:42:36 2016"
"156","Braskem SA ADR","N/A","N/A","Tue Nov 15 06:42:36 2016"
"157","Brookfield Asset Management Inc","N/A","N/A","Tue Nov 15 06:42:36 2016"
"161","Banc of California, Inc. Common","N/A","N/A","Tue Nov 15 06:42:36 2016"
"162","Credicorp Ltd. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"163","Basic Energy Services, Inc. Com","N/A","N/A","Tue Nov 15 06:42:36 2016"
"164","Baxter International Inc. Commo","N/A","N/A","Tue Nov 15 06:42:36 2016"
"165","Banco Bradesco Sa American Depo","N/A","N/A","Tue Nov 15 06:42:36 2016"
"166","Banco Bradesco Sa American Depo","N/A","N/A","Tue Nov 15 06:42:36 2016"
"167","BlackRock Municipal Income Inve","N/A","N/A","Tue Nov 15 06:42:36 2016"
"168","Bill Barrett Corporation Common","N/A","N/A","Tue Nov 15 06:42:36 2016"
"169","Blackrock Municipal Bond Trust","N/A","N/A","Tue Nov 15 06:42:36 2016"
"170","BHP Billiton plc Sponsored ADR","N/A","N/A","Tue Nov 15 06:42:36 2016"
"171","BlackRock Taxable Municipal Bon","N/A","N/A","Tue Nov 15 06:42:36 2016"
"172","BB&T Corporation Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"178","Brookfield Business Partners L.","N/A","N/A","Tue Nov 15 06:42:36 2016"
