"","Name","Ask","Bid","Date"
"384","Cabot Oil & Gas Corporation Com","N/A","N/A","Tue Nov 15 06:42:36 2016"
"385","Coach, Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"386","Rockwell Collins, Inc. Common S","N/A","N/A","Tue Nov 15 06:42:36 2016"
"387","Cooper Companies, Inc. (The) Co","N/A","N/A","Tue Nov 15 06:42:36 2016"
"388","ConocoPhillips Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"389","CoreSite Realty Corporation Com","N/A","N/A","Tue Nov 15 06:42:36 2016"
"392","CorEnergy Infrastructure Trust,","N/A","N/A","Tue Nov 15 06:42:36 2016"
"393","Cott Corporation Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"394","Cotiviti Holdings, Inc. Common ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"395","Coty Inc. Class A Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"396","Canadian Pacific Railway Limite","N/A","N/A","Tue Nov 15 06:42:36 2016"
"397","Copa Holdings, S.A. Copa Holdin","N/A","N/A","Tue Nov 15 06:42:36 2016"
"398","Cementos Pacasmayo S.A.A. Ameri","N/A","N/A","Tue Nov 15 06:42:36 2016"
"399","Campbell Soup Company Common St","N/A","N/A","Tue Nov 15 06:42:36 2016"
"400","Callon Petroleum Company Common","N/A","N/A","Tue Nov 15 06:42:36 2016"
"402","Central Pacific Financial Corp ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"403","Crescent Point Energy Corporati","N/A","N/A","Tue Nov 15 06:42:36 2016"
"404","Chesapeake Utilities Corporatio","N/A","N/A","Tue Nov 15 06:42:36 2016"
"405","CPFL Energia S.A. CPFL Energia ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"406","Calpine Corporation Common Stoc","N/A","N/A","Tue Nov 15 06:42:36 2016"
"407","Columbia Pipeline Partners LP C","N/A","N/A","Tue Nov 15 06:42:36 2016"
"408","Cooper-Standard Holdings Inc. C","N/A","N/A","Tue Nov 15 06:42:36 2016"
"409","Camden Property Trust Common St","N/A","N/A","Tue Nov 15 06:42:36 2016"
"410","Crane Company Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"411","California Resources Corporatio","N/A","N/A","Tue Nov 15 06:42:36 2016"
"412","Care.com, Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"415","CRH PLC American Depositary Sha","N/A","N/A","Tue Nov 15 06:42:36 2016"
"416","Carter's, Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"417","Dillard's Capital Trust I","N/A","N/A","Tue Nov 15 06:42:36 2016"
"418","Deutsch Bk Contingent Cap Tr V ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"419","China Distance Education Holdin","N/A","N/A","Tue Nov 15 06:42:36 2016"
"420","Dolby Laboratories Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"422","Dynagas LNG Partners LP Common ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"423","Delphi Automotive plc Ordinary ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"424","Digital Realty Trust, Inc. Comm","N/A","N/A","Tue Nov 15 06:42:36 2016"
"429","Deluxe Corporation Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"430","Dominion Midstream Partners, LP","N/A","N/A","Tue Nov 15 06:42:36 2016"
"431","Dreyfus Municipal Bond Infrastr","N/A","N/A","Tue Nov 15 06:42:36 2016"
"432","Demand Media Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"433","Western Asset Mortgage Defined ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"434","Dun & Bradstreet Corporation (T","N/A","N/A","Tue Nov 15 06:42:36 2016"
"435","Dividend and Income Fund Common","N/A","N/A","Tue Nov 15 06:42:36 2016"
"436","NOW Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"437","DNP Select Income Fund, Inc. Co","N/A","N/A","Tue Nov 15 06:42:36 2016"
"438","Denbury Resources Inc. Common S","N/A","N/A","Tue Nov 15 06:42:36 2016"
"439","Diamond Offshore Drilling, Inc.","N/A","N/A","Tue Nov 15 06:42:36 2016"
"440","Physicians Realty Trust Common ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"441","Masonite International Corporat","N/A","N/A","Tue Nov 15 06:42:36 2016"
"442","Dover Corporation Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"443","Dow Chemical Company (The) Comm","N/A","N/A","Tue Nov 15 06:42:36 2016"
"444","Duff & Phelps Global Utility In","N/A","N/A","Tue Nov 15 06:42:36 2016"
"445","Diplomat Pharmacy, Inc. Common ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"446","DCP Midstream Partners, LP DCP ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"447","Dr Pepper Snapple Group, Inc Dr","N/A","N/A","Tue Nov 15 06:42:36 2016"
"448","Domino's Pizza Inc Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"449","Fair Isaac Corproation Common S","N/A","N/A","Tue Nov 15 06:42:36 2016"
"450","First Trust Energy Infrastructu","N/A","N/A","Tue Nov 15 06:42:36 2016"
"451","Fortress Investment Group LLC C","N/A","N/A","Tue Nov 15 06:42:36 2016"
"452","Federated Investors, Inc. Commo","N/A","N/A","Tue Nov 15 06:42:36 2016"
"453","Fidelity National Information S","N/A","N/A","Tue Nov 15 06:42:36 2016"
"454","Fitbit, Inc. Class A Common Sto","N/A","N/A","Tue Nov 15 06:42:36 2016"
"455","Comfort Systems USA, Inc. Commo","N/A","N/A","Tue Nov 15 06:42:36 2016"
"456","Foot Locker, Inc.","N/A","N/A","Tue Nov 15 06:42:36 2016"
"457","Flaherty & Crumrine Total Retur","N/A","N/A","Tue Nov 15 06:42:36 2016"
"458","Flowers Foods, Inc. Common Stoc","N/A","N/A","Tue Nov 15 06:42:36 2016"
"459","SPX FLOW, Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"460","Fluor Corporation Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"461","Flowserve Corporation Common St","N/A","N/A","Tue Nov 15 06:42:36 2016"
"462","FleetCor Technologies, Inc. Com","N/A","N/A","Tue Nov 15 06:42:36 2016"
"463","Fleetmatics Group PLC Ordinary ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"464","Fly Leasing Limited","N/A","N/A","Tue Nov 15 06:42:36 2016"
"465","FMC Corporation Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"466","Federated Premier Municipal Inc","N/A","N/A","Tue Nov 15 06:42:36 2016"
"467","Fiduciary/Claymore MLP Opportun","N/A","N/A","Tue Nov 15 06:42:36 2016"
"468","Fresenius Medical Care AG Commo","N/A","N/A","Tue Nov 15 06:42:36 2016"
"469","Fairmount Santrol Holdings Inc.","N/A","N/A","Tue Nov 15 06:42:36 2016"
"470","Fomento Economico Mexicano S.A.","N/A","N/A","Tue Nov 15 06:42:36 2016"
"471","First Trust Motgage Income Fund","N/A","N/A","Tue Nov 15 06:42:36 2016"
"472","Fabrinet Ordinary Shares","N/A","N/A","Tue Nov 15 06:42:36 2016"
"473","F.N.B. Corporation Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"475","FNF Group of Fidelity National ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"476","FNFV Group of Fidelity National","N/A","N/A","Tue Nov 15 06:42:36 2016"
"477","Franco-Nevada Corporation","N/A","N/A","Tue Nov 15 06:42:36 2016"
"478","Ferro Corporation Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"479","Cohen & Steers Closed-End Oppor","N/A","N/A","Tue Nov 15 06:42:36 2016"
"480","Forestar Group Inc Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"481","First Trust Intermediate Durati","N/A","N/A","Tue Nov 15 06:42:36 2016"
"482","Farmland Partners Inc. Common S","N/A","N/A","Tue Nov 15 06:42:36 2016"
"483","First Trust New Opportunities M","N/A","N/A","Tue Nov 15 06:42:36 2016"
"484","First Potomac Realty Trust Comm","N/A","N/A","Tue Nov 15 06:42:36 2016"
"485","Federated Premier Intermediate ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"486","First Industrial Realty Trust, ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"487","Blackrock Floating Rate Income ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"488","FIRST REPUBLIC BANK Common Stoc","N/A","N/A","Tue Nov 15 06:42:36 2016"
"496","Frontline Ltd. Ordinary Shares","N/A","N/A","Tue Nov 15 06:42:36 2016"
"497","Federal Realty Investment Trust","N/A","N/A","Tue Nov 15 06:42:36 2016"
"498","Franklin Financial Network, Inc","N/A","N/A","Tue Nov 15 06:42:36 2016"
"499","Fifth Street Finance Corp. 5.87","N/A","N/A","Tue Nov 15 06:42:36 2016"
"500","First Trust High Income Long Sh","N/A","N/A","Tue Nov 15 06:42:36 2016"
"501","FS Investment Corporation Commo","N/A","N/A","Tue Nov 15 06:42:36 2016"
"502","Fortuna Silver Mines Inc Ordina","N/A","N/A","Tue Nov 15 06:42:36 2016"
"503","Federal Signal Corporation Comm","N/A","N/A","Tue Nov 15 06:42:36 2016"
"504","Franklin Universal Trust Common","N/A","N/A","Tue Nov 15 06:42:36 2016"
"505","Fortress Transportation and Inf","N/A","N/A","Tue Nov 15 06:42:36 2016"
"506","FMC Technologies, Inc. Common S","N/A","N/A","Tue Nov 15 06:42:36 2016"
"507","Flotek Industries, Inc. Common ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"508","Fortis Inc. Common Shares","N/A","N/A","Tue Nov 15 06:42:36 2016"
"509","Fortive Corporation Common Stoc","N/A","N/A","Tue Nov 15 06:42:36 2016"
"510","H. B. Fuller Company Common Sto","N/A","N/A","Tue Nov 15 06:42:36 2016"
"511","Cedar Fair, L.P. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"512","Genpact Limited Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"513","Gabelli Equity Trust, Inc. (The","N/A","N/A","Tue Nov 15 06:42:36 2016"
"518","General American Investors, Inc","N/A","N/A","Tue Nov 15 06:42:36 2016"
"520","GATX Corporation Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"521","Guggenheim Taxable Municipal Ma","N/A","N/A","Tue Nov 15 06:42:36 2016"
"522","Gamco Investors, Inc. Common St","N/A","N/A","Tue Nov 15 06:42:36 2016"
"523","Greenbrier Companies, Inc. (The","N/A","N/A","Tue Nov 15 06:42:36 2016"
"524","GAIN Capital Holdings, Inc. Com","N/A","N/A","Tue Nov 15 06:42:36 2016"
"525","Aberdeen Greater China Fund, In","N/A","N/A","Tue Nov 15 06:42:36 2016"
"526","Gannett Co., Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"527","Genesco Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"528","GCP Applied Technologies Inc. C","N/A","N/A","Tue Nov 15 06:42:36 2016"
"529","Gabelli Convertible and Income ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"531","General Dynamics Corporation Co","N/A","N/A","Tue Nov 15 06:42:36 2016"
"532","GoDaddy Inc. Class A Common Sto","N/A","N/A","Tue Nov 15 06:42:36 2016"
"533","GDL Fund, The Common Shares of ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"535","Western Asset Global Corporate ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"536","Green Dot Corporation Class A C","N/A","N/A","Tue Nov 15 06:42:36 2016"
"537","Gabelli Dividend & Income Trust","N/A","N/A","Tue Nov 15 06:42:36 2016"
"541","General Electric Company Common","N/A","N/A","Tue Nov 15 06:42:36 2016"
"542","General Electric Company 4.875%","N/A","N/A","Tue Nov 15 06:42:36 2016"
"543","Greif Inc. Class A Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"545","General Electric Capital Corpor","N/A","N/A","Tue Nov 15 06:42:36 2016"
"546","General Electric Capital Corpor","N/A","N/A","Tue Nov 15 06:42:36 2016"
"547","Genesis Energy, L.P. Common Uni","N/A","N/A","Tue Nov 15 06:42:36 2016"
"548","Genesis Healthcare, Inc. Common","N/A","N/A","Tue Nov 15 06:42:36 2016"
"549","Geo Group Inc (The) REIT","N/A","N/A","Tue Nov 15 06:42:36 2016"
"550","Guggenheim Equal Weight Enhance","N/A","N/A","Tue Nov 15 06:42:36 2016"
"551","Goldman Sachs MLP Energy Renais","N/A","N/A","Tue Nov 15 06:42:36 2016"
"552","Guess?, Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"553","New Germany Fund, Inc. (The) Co","N/A","N/A","Tue Nov 15 06:42:36 2016"
"554","Gafisa SA Gafisa S.A. American ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"555","Griffon Corporation Common Stoc","N/A","N/A","Tue Nov 15 06:42:36 2016"
"556","Gold Fields Limited American De","N/A","N/A","Tue Nov 15 06:42:36 2016"
"557","Western Asset Variable Rate Str","N/A","N/A","Tue Nov 15 06:42:36 2016"
"558","Goldcorp Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"559","Gerdau S.A. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"560","Guggenheim Enhanced Equity Stra","N/A","N/A","Tue Nov 15 06:42:36 2016"
"561","Graco Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"562","Guggenheim Credit Allocation Fu","N/A","N/A","Tue Nov 15 06:42:36 2016"
"563","General Growth Properties, Inc.","N/A","N/A","Tue Nov 15 06:42:36 2016"
"565","Gabelli Multi-Media Trust, Inc.","N/A","N/A","Tue Nov 15 06:42:36 2016"
"567","Gabelli Global Small and Mid Ca","N/A","N/A","Tue Nov 15 06:42:36 2016"
"569","Graham Holdings Company Common ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"570","Greenhill & Co., Inc. Common St","N/A","N/A","Tue Nov 15 06:42:36 2016"
"571","Graham Corporation Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"572","Prudential Global Short Duratio","N/A","N/A","Tue Nov 15 06:42:36 2016"
"573","EndoChoice Holdings, Inc. Commo","N/A","N/A","Tue Nov 15 06:42:36 2016"
"574","CGI Group, Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"575","Gildan Activewear, Inc. Class A","N/A","N/A","Tue Nov 15 06:42:36 2016"
"576","Templeton Global Income Fund, I","N/A","N/A","Tue Nov 15 06:42:36 2016"
"577","Gigamon Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"578","General Mills, Inc. Common Stoc","N/A","N/A","Tue Nov 15 06:42:36 2016"
"579","Synthetic Fixed-Income Securiti","N/A","N/A","Tue Nov 15 06:42:36 2016"
"580","Synthetic Fixed-Income Securiti","N/A","N/A","Tue Nov 15 06:42:36 2016"
"581","Synthetic Fixed-Income Securiti","N/A","N/A","Tue Nov 15 06:42:36 2016"
"582","Synthetic Fixed-Income Securiti","N/A","N/A","Tue Nov 15 06:42:36 2016"
"583","Goldman Sachs Group Securities ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"584","Synthetic Fixed-Income Securiti","N/A","N/A","Tue Nov 15 06:42:36 2016"
"585","Synthetic Fixed-Income Securiti","N/A","N/A","Tue Nov 15 06:42:36 2016"
"586","Glaukos Corporation Common Stoc","N/A","N/A","Tue Nov 15 06:42:36 2016"
"587","GulfMark Offshore, Inc. New Com","N/A","N/A","Tue Nov 15 06:42:36 2016"
"589","Globant S.A. Common Shares","N/A","N/A","Tue Nov 15 06:42:36 2016"
"590","GasLog Ltd. Common Shares","N/A","N/A","Tue Nov 15 06:42:36 2016"
"591","GasLog Partners LP Common Units","N/A","N/A","Tue Nov 15 06:42:36 2016"
"592","Global Partners LP Global Partn","N/A","N/A","Tue Nov 15 06:42:36 2016"
"593","Glatfelter Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"594","Corning Incorporated Common Sto","N/A","N/A","Tue Nov 15 06:42:36 2016"
"595","General Motors Company Common S","N/A","N/A","Tue Nov 15 06:42:36 2016"
"597","Gamestop Corporation Common Sto","N/A","N/A","Tue Nov 15 06:42:36 2016"
"598","Globus Medical, Inc. Class A Co","N/A","N/A","Tue Nov 15 06:42:36 2016"
"599","GLOBAL MEDICAL REIT","N/A","N/A","Tue Nov 15 06:42:36 2016"
"600","GMS Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"601","GATX Corporation 5.625% Senior ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"602","Goldman Sachs MLP Income Opport","N/A","N/A","Tue Nov 15 06:42:36 2016"
"603","GNC Holdings, Inc. Class A Comm","N/A","N/A","Tue Nov 15 06:42:36 2016"
"604","Genie Energy Ltd. Class B Commo","N/A","N/A","Tue Nov 15 06:42:36 2016"
"606","Genco Shipping & Trading Limite","N/A","N/A","Tue Nov 15 06:42:36 2016"
"607","Global Net Lease, Inc. Common S","N/A","N/A","Tue Nov 15 06:42:36 2016"
"608","Generac Holdlings Inc. Common S","N/A","N/A","Tue Nov 15 06:42:36 2016"
"609","Gener8 Maritime, Inc. Common Sh","N/A","N/A","Tue Nov 15 06:42:36 2016"
"610","GAMCO Natural Resources, Gold &","N/A","N/A","Tue Nov 15 06:42:36 2016"
"611","Genworth Financial Inc Common S","N/A","N/A","Tue Nov 15 06:42:36 2016"
"612","Guggenheim Strategic Opportunit","N/A","N/A","Tue Nov 15 06:42:36 2016"
"613","Gol Linhas Aereas Inteligentes ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"614","Acushnet Holdings Corp. Common ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"615","Genuine Parts Company Common St","N/A","N/A","Tue Nov 15 06:42:36 2016"
"617","Group 1 Automotive, Inc. Common","N/A","N/A","Tue Nov 15 06:42:36 2016"
"618","Graphic Packaging Holding Compa","N/A","N/A","Tue Nov 15 06:42:36 2016"
"619","Guggenheim Enhanced Equity Inco","N/A","N/A","Tue Nov 15 06:42:36 2016"
"620","Global Payments Inc. Common Sto","N/A","N/A","Tue Nov 15 06:42:36 2016"
"621","Geopark Ltd Common Shares","N/A","N/A","Tue Nov 15 06:42:36 2016"
"622","Gap, Inc. (The) Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"623","Gramercy Property Trust","N/A","N/A","Tue Nov 15 06:42:36 2016"
"625","GP Strategies Corporation Commo","N/A","N/A","Tue Nov 15 06:42:36 2016"
"626","W.R. Grace & Co. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"627","Grana y Montero S.A.A. American","N/A","N/A","Tue Nov 15 06:42:36 2016"
"628","Agria Corporation American Depo","N/A","N/A","Tue Nov 15 06:42:36 2016"
"630","Asia Tigers Fund, Inc. (The) Co","N/A","N/A","Tue Nov 15 06:42:36 2016"
"631","GrubHub Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"632","The Gabelli Healthcare & Wellne","N/A","N/A","Tue Nov 15 06:42:36 2016"
"635","Goldman Sachs Group, Inc. (The)","N/A","N/A","Tue Nov 15 06:42:36 2016"
"644","Goldman Sachs BDC, Inc. Common ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"645","Guangshen Railway Company Limit","N/A","N/A","Tue Nov 15 06:42:36 2016"
"646","Goldman Sachs Group, Inc. (The)","N/A","N/A","Tue Nov 15 06:42:36 2016"
"647","GlaxoSmithKline PLC Common Stoc","N/A","N/A","Tue Nov 15 06:42:36 2016"
"648","Global Ship Lease Inc New Class","N/A","N/A","Tue Nov 15 06:42:36 2016"
"650","Gray Communications Systems, In","N/A","N/A","Tue Nov 15 06:42:36 2016"
"652","Triple-S Management Corporation","N/A","N/A","Tue Nov 15 06:42:36 2016"
"653","GTT Communications, Inc. Common","N/A","N/A","Tue Nov 15 06:42:36 2016"
"654","Getty Realty Corporation Common","N/A","N/A","Tue Nov 15 06:42:36 2016"
"655","Gabelli Utility Trust (The) Com","N/A","N/A","Tue Nov 15 06:42:36 2016"
"658","Granite Construction Incorporat","N/A","N/A","Tue Nov 15 06:42:36 2016"
"659","Great Western Bancorp, Inc. Com","N/A","N/A","Tue Nov 15 06:42:36 2016"
"660","Genesee & Wyoming Inc. Class A ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"661","Guidewire Software, Inc. Common","N/A","N/A","Tue Nov 15 06:42:36 2016"
"662","W.W. Grainger, Inc. Common Stoc","N/A","N/A","Tue Nov 15 06:42:36 2016"
"663","Great Plains Energy Incorporate","N/A","N/A","Tue Nov 15 06:42:36 2016"
"665","CABCO Series 2004-101 Trust Gol","N/A","N/A","Tue Nov 15 06:42:36 2016"
"666","Corporate Asset Backed Corp CAB","N/A","N/A","Tue Nov 15 06:42:36 2016"
"667","Gazit-Globe Ltd. Ordinary Share","N/A","N/A","Tue Nov 15 06:42:36 2016"
"668","Hyatt Hotels Corporation Class ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"669","Haemonetics Corporation Common ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"670","Halliburton Company Common Stoc","N/A","N/A","Tue Nov 15 06:42:36 2016"
"671","Harman International Industries","N/A","N/A","Tue Nov 15 06:42:36 2016"
"672","Hannon Armstrong Sustainable In","N/A","N/A","Tue Nov 15 06:42:36 2016"
"673","Hanesbrands Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"674","Hudbay Minerals Inc Ordinary Sh","N/A","N/A","Tue Nov 15 06:42:36 2016"
"676","HCA Holdings, Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"677","HCI Group, Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"678","HCI Group, Inc. 8% Senior Notes","N/A","N/A","Tue Nov 15 06:42:36 2016"
"679","Hi-Crush Partners LP Common Uni","N/A","N/A","Tue Nov 15 06:42:36 2016"
"680","Welltower Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"683","HCP, Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"684","Home Depot, Inc. (The) Common S","N/A","N/A","Tue Nov 15 06:42:36 2016"
"685","HDFC Bank Limited Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"686","Hawaiian Electric Industries, I","N/A","N/A","Tue Nov 15 06:42:36 2016"
"688","Heico Corporation Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"690","Holly Energy Partners, L.P. Com","N/A","N/A","Tue Nov 15 06:42:36 2016"
"691","John Hancock Hedged Equity & In","N/A","N/A","Tue Nov 15 06:42:36 2016"
"692","Hess Corporation Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"694","HFF, Inc. Common Stock, Class A","N/A","N/A","Tue Nov 15 06:42:36 2016"
"695","HollyFrontier Corporation Commo","N/A","N/A","Tue Nov 15 06:42:36 2016"
"696","HHGregg, Inc. Common Stock (IN)","N/A","N/A","Tue Nov 15 06:42:36 2016"
"697","Hartford Financial Services Gro","N/A","N/A","Tue Nov 15 06:42:36 2016"
"698","Hugoton Royalty Trust Common St","N/A","N/A","Tue Nov 15 06:42:36 2016"
"699","Howard Hughes Corporation (The)","N/A","N/A","Tue Nov 15 06:42:36 2016"
"700","Harte-Hanks, Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"701","Brookfield High Income Fund Inc","N/A","N/A","Tue Nov 15 06:42:36 2016"
"702","Hillenbrand Inc Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"703","Miller/Howard High Income Equit","N/A","N/A","Tue Nov 15 06:42:36 2016"
"704","InfraREIT, Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"705","Hartford Financial Services Gro","N/A","N/A","Tue Nov 15 06:42:36 2016"
"707","Huntington Ingalls Industries, ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"708","Hill International, Inc. Common","N/A","N/A","Tue Nov 15 06:42:36 2016"
"709","Western Asset High Income Oppor","N/A","N/A","Tue Nov 15 06:42:36 2016"
"710","Aerohive Networks, Inc. Common ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"711","Highwoods Properties, Inc. Comm","N/A","N/A","Tue Nov 15 06:42:36 2016"
"712","Western Asset High Income Fund ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"713","MS Structured Asset Corp MS Str","N/A","N/A","Tue Nov 15 06:42:36 2016"
"714","Halcon Resources Corporation Co","N/A","N/A","Tue Nov 15 06:42:36 2016"
"715","Hecla Mining Company Common Sto","N/A","N/A","Tue Nov 15 06:42:36 2016"
"717","Herbalife Ltd. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"718","Houlihan Lokey, Inc. Class A Co","N/A","N/A","Tue Nov 15 06:42:36 2016"
"719","HealthSouth Corporation Common ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"721","Hilton Worldwide Holdings Inc. ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"722","Helix Energy Solutions Group, I","N/A","N/A","Tue Nov 15 06:42:36 2016"
"723","Honda Motor Company, Ltd. Commo","N/A","N/A","Tue Nov 15 06:42:36 2016"
"724","Hoegh LNG Partners LP Common Un","N/A","N/A","Tue Nov 15 06:42:36 2016"
"725","Horace Mann Educators Corporati","N/A","N/A","Tue Nov 15 06:42:36 2016"
"726","Harmony Gold Mining Company Lim","N/A","N/A","Tue Nov 15 06:42:36 2016"
"727","HNI Corporation Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"728","Huaneng Power Intl Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"729","Harvest Natural Resources Inc","N/A","N/A","Tue Nov 15 06:42:36 2016"
"730","Harley-Davidson, Inc. Common St","N/A","N/A","Tue Nov 15 06:42:36 2016"
"731","At Home Group Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"732","Honeywell International Inc. Co","N/A","N/A","Tue Nov 15 06:42:36 2016"
"733","Hornbeck Offshore Services Comm","N/A","N/A","Tue Nov 15 06:42:36 2016"
"734","Hovnanian Enterprises, Inc. Cla","N/A","N/A","Tue Nov 15 06:42:36 2016"
"735","Helmerich & Payne, Inc. Common ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"736","Hewlett Packard Enterprise Comp","N/A","N/A","Tue Nov 15 06:42:36 2016"
"737","John Hancock Pfd Income Fund II","N/A","N/A","Tue Nov 15 06:42:36 2016"
"738","John Hancock Preferred Income F","N/A","N/A","Tue Nov 15 06:42:36 2016"
"739","Hudson Pacific Properties, Inc.","N/A","N/A","Tue Nov 15 06:42:36 2016"
"740","HP Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"741","John Hancock Preferred Income F","N/A","N/A","Tue Nov 15 06:42:36 2016"
"742","Tekla Healthcare Investors Comm","N/A","N/A","Tue Nov 15 06:42:36 2016"
"743","TeklaLife Sciences Investors Co","N/A","N/A","Tue Nov 15 06:42:36 2016"
"744","Healthcare Realty Trust Incorpo","N/A","N/A","Tue Nov 15 06:42:36 2016"
"745","H&R Block, Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"746","Hill-Rom Holdings Inc Common St","N/A","N/A","Tue Nov 15 06:42:36 2016"
"747","HRG Group, Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"748","Herc Holdings Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"749","Hormel Foods Corporation Common","N/A","N/A","Tue Nov 15 06:42:36 2016"
"750","Harris Corporation Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"751","Heritage Insurance Holdings, In","N/A","N/A","Tue Nov 15 06:42:36 2016"
